respondentId,answeredAt,"Encuesta de Exalumnos, Sinapis 2025|¿Da usted su consentimiento para que recopilemos sus datos?","Encuesta de Exalumnos, Sinapis 2025|¿Tiene actualmente un negocio operando?","Encuesta de Exalumnos, Sinapis 2025|Por favor proporcione el nombre de su negocio","Encuesta de Exalumnos, Sinapis 2025|¿Usted fundó o cofundó el negocio?","Encuesta de Exalumnos, Sinapis 2025|¿Cuál es su posición en el negocio?","Encuesta de Exalumnos, Sinapis 2025|¿En qué sector opera su negocio?","Encuesta de Exalumnos, Sinapis 2025|¿Cómo clasificaría la etapa actual de su negocio?","Encuesta de Exalumnos, Sinapis 2025|¿Está su empresa registrada oficialmente en el SAT?","Encuesta de Exalumnos, Sinapis 2025|Durante el año pasado, ¿cuántos ingresos (ventas/facturación) generó su empresa POR MES? Si tiene un negocio, pero aún no genera ingresos, escriba 0. Utilice la moneda local.","Encuesta de Exalumnos, Sinapis 2025|¿El número anterior representa un aumento o una disminución en los ingresos de su negocio en comparación con el año anterior?","Encuesta de Exalumnos, Sinapis 2025|Si respondió Aumentó o Disminuyó, ¿puede estimar en cuánto aumentó o disminuyó?","Encuesta de Exalumnos, Sinapis 2025|¿Contrató a nuevas personas en comparación con el año pasado?","Encuesta de Exalumnos, Sinapis 2025|Si la respuesta es si, ¿cuantás personas mas contrató?","Encuesta de Exalumnos, Sinapis 2025|¿Cuántos empleados remunerados a TIEMPO COMPLETO, incluido usted mismo, tiene actualmente? (una estimación está bien). Si eres solo tú, por favor pon 1.","Encuesta de Exalumnos, Sinapis 2025|¿Cuántos empleados remunerados a TIEMPO PARCIAL (incluidos los trabajadores ocasionales) tiene actualmente? (una estimación está bien).","Encuesta de Exalumnos, Sinapis 2025|¿Recaudó inversiones externas para su negocio en el pasado a través de familiares, amigos, instituciones financieras u otras fuentes de capital de inversión? Si es así, ¿cuánto? Calcule la inversión acumulada exacta (en moneda local). NO incluya sus propios ahorros (una estimación está bien).","Encuesta de Exalumnos, Sinapis 2025|¿Su empresa trabaja directa o indirectamente con su comunidad y/o sus cadenas de suministro?","Encuesta de Exalumnos, Sinapis 2025|¿De cuál de las siguientes maneras trabaja su empresa con la comunidad/cadena de suministro?","Encuesta de Exalumnos, Sinapis 2025|Si puede, explique más detalladamente cómo se relaciona su empresa con la comunidad/cadena de suministro:","Encuesta de Exalumnos, Sinapis 2025|Calcule cuántas de estas personas experimentan mejor calidad de vida al trabajar directa o indirectamente para beneficiar a las partes interesadas de la comunidad indicadas en las respuestas anteriores (¡sea lo más preciso posible!)","Encuesta de Exalumnos, Sinapis 2025|Si respondió Más de 1000, calcule el número exacto.","Encuesta de Exalumnos, Sinapis 2025|¿Cuál es su enfoque de negocio sustentable en cuanto al cuidado del medio ambiente?","Encuesta de Exalumnos, Sinapis 2025|¿Qué prácticas de sostenibilidad ambiental ha incorporado a su negocio?","Encuesta de Exalumnos, Sinapis 2025|¿En qué medida está de acuerdo con la siguiente afirmación?

Mi experiencia con Aspire - Sinapis (durante el programa y post-programa de ex alumnos) sigue teniendo un impacto significativo en los resultados de mi negocio actual.","Encuesta de Exalumnos, Sinapis 2025|¿En qué medida está de acuerdo con la afirmación?

CMF Marketplace México - Sinapis salvó mi negocio del fracaso.","Encuesta de Exalumnos, Sinapis 2025|¿Cómo se siente al pagar o aceptar un soborno?","Encuesta de Exalumnos, Sinapis 2025|Desde que completó el programa CMF Marketplace México - Sinapis, ¿le han pedido que pague o acepte algún soborno?","Encuesta de Exalumnos, Sinapis 2025|¿Cuántas veces se negó a pagar o aceptar un soborno como resultado directo de su experiencia con CMF Marketplace México - Sinapis?","Encuesta de Exalumnos, Sinapis 2025|¿Tiene algún comentario que le gustaría compartir sobre cómo su experiencia con CMF Marketplace México - Sinapis ha seguido impactándolo a usted o a su negocio?","Encuesta de Exalumnos, Sinapis 2025|¿En qué áreas de su negocio está enfrentando más dificultades? ¿En qué áreas siente que necesita más capacitación? (Puede seleccionar más de una opción).","Encuesta de Exalumnos, Sinapis 2025|Por favor escriba su nombre completo.","Encuesta de Exalumnos, Sinapis 2025|Por favor, comparta el mejor número de teléfono para comunicarnos con usted.","Encuesta de Exalumnos, Sinapis 2025|Hasta donde usted sabe, como resultado directo de sus esfuerzos como empresario/negocio del Reino, calcule el número de personas que han:|Comprendido qué es un negocio del Reino y/o podido describirlo a otros","Encuesta de Exalumnos, Sinapis 2025|Hasta donde usted sabe, como resultado directo de sus esfuerzos como empresario/negocio del Reino, calcule el número de personas que han:|Recibido información sobre el Evangelio y querido saber más","Encuesta de Exalumnos, Sinapis 2025|Hasta donde usted sabe, como resultado directo de sus esfuerzos como empresario/negocio del Reino, calcule el número de personas que han:|Pedido oración y/o orado contigo o con un colega","Encuesta de Exalumnos, Sinapis 2025|Hasta donde usted sabe, como resultado directo de sus esfuerzos como empresario/negocio del Reino, calcule el número de personas que han:|Llegado a ser creyentes en Jesucristo","Encuesta de Exalumnos, Sinapis 2025|Hasta donde usted sabe, como resultado directo de sus esfuerzos como empresario/negocio del Reino, calcule el número de personas que han:|Desarrollado una relación más profunda con Jesús y otros creyentes"
HDDJ-1466,2025-04-07 20:15:40.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Servicios y Consultoría,"Identificación del problema: Identificó un problema, pero aún no tiene una idea para la solución.",Sí,0,Disminuyó,80%,No,,3,Varia,No,No,Otro,,1-10,,Estoy ansioso por aprender más sobre esto.,,Neutral,Neutral,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Siempre/Cada vez,,"Finanzas (sistemas de organización) y planificación financiera del negocio,Implementacion de Tecnologias (Digitalizacion),Marketing y comunicacion de Valor,Planificación financiera personal/familiar,Ventas",,,0,0,0,,0
BDFJ-2945,2025-04-07 20:35:07.0000000,Sí,Sí,,Sí,Otro,Comercializacion de Productos,"Tracción/ingresos tempranos del cliente: producto en mercados pequeños, que genera ingresos tempranos y es probable que esté realizando las primeras contrataciones de personal.",No,0.00,N/A,,No,,1,0,10000,No,Otro,"Son productos de belleza, limpieza e higiene personal ",1-10,,Entiendo y aplico los principios ambientales.,Otro,De acuerdo,De acuerdo,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Siempre/Cada vez,"No, no tengo comentarios ",Implementacion de Tecnologias (Digitalizacion),,,Más de 5,Más de 5,1-5,0,Más de 5
GEBB-2131,2025-04-07 20:36:26.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Comercializacion de Productos,"Crecimiento rápido: viendo una demanda de clientes fuerte y constante, generando ingresos significativos y un flujo de caja positivo. ",No,"$250,000 pesos mensuales",Aumentó,Sí  un 25% aproximadamente.,Sí,2,10 empleados,1 empleado,No,Sí,"Compra directamente a una cooperativa propiedad de productores o a un grupo comunitario que son los principales proveedores de insumos para su negocio (por ejemplo, agricultores o cooperativas artesanales).",Proporcionamos tortilla y alimentos de calidad a nuestra comunidad ,101-1000,,Entiendo y aplico los principios ambientales.,"Conservar el agua,Energías renovables o Eficiencia energética",De acuerdo,En desacuerdo,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Siempre/Cada vez,"Me ayudo a tener paz y amor por mi trabajo, permitiéndome entender que este negocio es también un medio para compartir la fe a nuestros clientes y empleados...","Equilibrio entre el trabajo y la vida personal como emprendedor,Finanzas (sistemas de organización) y planificación financiera del negocio,Implementacion de Tecnologias (Digitalizacion),Impuestos,Marketing y comunicacion de Valor,Reclutamiento y seleccion de personal",,,Más de 5,Más de 5,Más de 5,Más de 5,Más de 5
IBIA-3684,2025-04-08 01:59:57.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Servicios y Consultoría,"Tracción/ingresos tempranos del cliente: producto en mercados pequeños, que genera ingresos tempranos y es probable que esté realizando las primeras contrataciones de personal.",No,"8,000",N/A,,Sí,2,1,4,No,No,Otro,,1-10,,Estoy ansioso por aprender más sobre esto.,Otro,De acuerdo,Neutral,Nunca acepto sobornos y esto fue algo que aprendí durante CMF Marketplace México - Sinapis.,No,Nunca,Me gusta que tengan follow up con los ex alumnos ,Marketing y comunicacion de Valor,,,,,,,
IGDE-7247,2025-04-08 06:06:26.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Comercializacion de Productos,"Crecimiento rápido: viendo una demanda de clientes fuerte y constante, generando ingresos significativos y un flujo de caja positivo. ",No,$250.000 al mes,Aumentó,25%,Sí,2,10,1,No,Sí,"Compra directamente a una cooperativa propiedad de productores o a un grupo comunitario que son los principales proveedores de insumos para su negocio (por ejemplo, agricultores o cooperativas artesanales).",En la venta de tortilla y alimentos de calidad.,1-10,,Estoy ansioso por aprender más sobre esto.,"Conservar el agua,Energías renovables o Eficiencia energética",Totalmente de acuerdo,Neutral,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Siempre/Cada vez,"Siempre tienen disposición para asesorarme en temas requeridos, me ofrecen a seguir capacitandome, oren por mi y el negocio ","Implementacion de Tecnologias (Digitalizacion),Impuestos,Reclutamiento y seleccion de personal",,,Más de 5,Más de 5,Más de 5,Más de 5,Más de 5
EJHD-4569,2025-04-09 03:33:27.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,"Médico: Asistencia Sanitaria, Equipamiento, Farmacia.","Solidificando operaciones: adquiriendo más clientes, realizando contrataciones clave de alto nivel y avanzando hacia un flujo de caja positivo.",Sí,"$40,000.00",N/A,,No,,1,0,,Sí,"Compra directamente a una cooperativa propiedad de productores o a un grupo comunitario que son los principales proveedores de insumos para su negocio (por ejemplo, agricultores o cooperativas artesanales).",,1-10,,"Conozco términos técnicos ambientales como economia circular, huella de carbono, gestión responsable de residuos, financiación verde, etc.",Otro,De acuerdo,Neutral,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Nunca,Todo ok,Reclutamiento y seleccion de personal,,,0,,,,
BCAG-9319,2025-04-15 01:40:42.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Moda y Confección,"Solidificando operaciones: adquiriendo más clientes, realizando contrataciones clave de alto nivel y avanzando hacia un flujo de caja positivo.",Sí,Estoy apenas checando esto de el año y lo k genera ,N/A,,Sí,2 personas,2 personas,,No,No,Otro,,,,,Otro,De acuerdo,Neutral,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Nunca,Estoy poniendo atención a lo que entra y sale económicamente! Y buscando una mejor calidad en mis servicios ,"Implementacion de Tecnologias (Digitalizacion),Ventas",,,,,,,
CCCF-5848,2025-04-16 19:15:57.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Tecnologías de la información y las Comunicaciones,"Empezando a ver una fuerte tracción en los ingresos: el producto o servicio se vende de manera constante, genera ingresos y genera contrataciones clave.",Sí,1512871.46,Aumentó,12%,Sí,1,5,0,0,No,Otro,,,,Estoy ansioso por aprender más sobre esto.,,De acuerdo,Neutral,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",Sí,Siempre/Cada vez,La comunidad ha sido una muy buena herramienta para conectar y  desarrollarse ,"Finanzas (sistemas de organización) y planificación financiera del negocio,Impuestos,Marketing y comunicacion de Valor",,,1-5,1-5,1-5,0,0
JICJ-9426,2025-04-17 00:55:34.0000000,Sí,Sí,,No,Empleado,Comercializacion de Productos,"Identificación del problema: Identificó un problema, pero aún no tiene una idea para la solución.",Sí,$60000.00,Aumentó,$10000.00,No,,1,0,No,No,,,,,Entiendo y aplico los principios ambientales.,Obtener materiales o embalajes sostenibles,De acuerdo,De acuerdo,Nunca acepto sobornos y esto fue algo que aprendí durante CMF Marketplace México - Sinapis.,No,Siempre/Cada vez,No,"Marketing y comunicacion de Valor,Ventas",,,1-5,,,,
EFBB-3055,2025-04-17 16:41:29.0000000,Sí,No,,Sí,Director Ejecutivo/Presidente,"Fabricación: Automotriz, Madera, Textil.","Idea/Concepto: Formó una idea, pero aún no ha construido un prototipo ni ha llevado su producto/servicio al mercado.",No,no aplica,N/A,,Sí,1 diseñador,,1,si aun no la tengo completa,Sí,Otro,,1-10,,"Conozco términos técnicos ambientales como economia circular, huella de carbono, gestión responsable de residuos, financiación verde, etc.",,De acuerdo,Totalmente en desacuerdo,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Siempre/Cada vez,,Marketing y comunicacion de Valor,,,1-5,,1-5,,
CEJJ-5341,2025-04-17 22:52:16.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Financiero,,Sí,,,,No,solo tengo una persona,2,0,,No,Otro,no aplica para mi la pregunta anterior,,,,,Neutral,Neutral,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Siempre/Cada vez,,"Equilibrio entre el trabajo y la vida personal como emprendedor,Finanzas (sistemas de organización) y planificación financiera del negocio,Implementacion de Tecnologias (Digitalizacion),Planificación financiera personal/familiar,Ventas",,,Más de 5,0,0,0,0
JFEH-9817,2025-04-22 01:54:04.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,"Fabricación: Automotriz, Madera, Textil.","Empezando a ver una fuerte tracción en los ingresos: el producto o servicio se vende de manera constante, genera ingresos y genera contrataciones clave.",Sí,20000,N/A,,No,,0,4,No,No,,,,,Estoy ansioso por aprender más sobre esto.,Energías renovables o Eficiencia energética,Totalmente de acuerdo,Neutral,Depende de la situación.,No,Nunca,,Finanzas (sistemas de organización) y planificación financiera del negocio,,,0,0,0,,
BAGE-6922,2025-04-22 03:56:48.0000000,Sí,No,,Sí,Director Ejecutivo/Presidente,Comercializacion de Productos,Fallido,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCDE-9380,2025-04-23 02:48:17.0000000,Sí,Sí,,Sí,Otra Posición Ejecutiva,Comercializacion de Productos,"Tracción/ingresos tempranos del cliente: producto en mercados pequeños, que genera ingresos tempranos y es probable que esté realizando las primeras contrataciones de personal.",No,30k,Aumentó,6%,No,,1,,No,Sí,Apoya a los productores primarios con insumos subsidiados y capacitación con el objetivo de que eventualmente compren sus productos o encuentren un mercado para ellos.,Toda la materia prima viene de comercios locales ,1-10,,Estoy ansioso por aprender más sobre esto.,,Totalmente de acuerdo,Totalmente de acuerdo,Nunca acepto sobornos y esto fue algo que aprendí durante CMF Marketplace México - Sinapis.,No,Nunca,Las enseñanzas del curso me han guiado a tomar mejores desiciones. ,"Planificación financiera personal/familiar,Usar mi negocio como un espacio para compartir mi fe y/o valores",,,1-5,1-5,1-5,1-5,1-5
FDJH-3693,2025-04-23 04:40:13.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,"Energía: Petróleo, Solar, Electricidad.","Solidificando operaciones: adquiriendo más clientes, realizando contrataciones clave de alto nivel y avanzando hacia un flujo de caja positivo.",Sí,$250 mil pesos,Disminuyó,disminuyó la facturación Pero es más rentable,No,,1,8,no,Sí,"Compra regularmente a personas informales que brindan servicios/productos para su negocio (por ejemplo, artesanos, repartidores, etc).",somos una parte medular en la construcción de un inmueble,1-10,,,Gestión responsable de residuos,Totalmente de acuerdo,En desacuerdo,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",Sí,Nunca,si ! me estructura,Integrar mi fe y/o valores en las operaciones de mi negocio,,,,,1-5,,
FBIC-5905,2025-04-23 14:43:05.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Moda y Confección,"Tracción/ingresos tempranos del cliente: producto en mercados pequeños, que genera ingresos tempranos y es probable que esté realizando las primeras contrataciones de personal.",No,4000,Aumentó,2000,No,,1,1,1000,Sí,Otro,Solo pongo a la venta mis productos y posteriormente daré clases para elaborar mis artículos ya que hay interés por parte de la gente ,1-10,,Estoy ansioso por aprender más sobre esto.,"Circularidad (reducir, reutilizar y reciclar)",Totalmente de acuerdo,Totalmente de acuerdo,Nunca acepto sobornos y esto fue algo que aprendí durante CMF Marketplace México - Sinapis.,No,Nunca,,Ventas,,,1-5,,,,
CIAG-9500,2025-04-24 03:25:19.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Sector Informal,"Idea/Concepto: Formó una idea, pero aún no ha construido un prototipo ni ha llevado su producto/servicio al mercado.",No,"$4950 durante cuatro meses, pues fluctúa la cantidad.",Aumentó,En 2023 percibí $2925 durante 5 meses y también la cantidad era variable.,No,,1,,No. Todo lo invertí con el dinero de mi negocio y de mi otro trabajo.,Sí,Otro,"El idioma crea la necesidad de comunicarse con los misioneros de la Iglesia. Los alumnos que ya están, lo ponen en práctica y, de ese modo, se está mencionando la posibilidad de viajar al extranjero en un futuro.",1-10,,Estoy ansioso por aprender más sobre esto.,"Circularidad (reducir, reutilizar y reciclar),Conservar el agua",Totalmente de acuerdo,Totalmente de acuerdo,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Siempre/Cada vez,"Justamente a finales de 2024 experimenté problemas al recibir mi salario en mi otro trabajo porque se atrasaron 4 meses y, al ver los números de este negocio, no había contemplado cuán respaldada he sido por la mano del Señor.","Equilibrio entre el trabajo y la vida personal como emprendedor,Finanzas (sistemas de organización) y planificación financiera del negocio,Impuestos,Legal,Marketing y comunicacion de Valor,Planificación financiera personal/familiar,Ventas",,,Más de 5,1-5,1-5,1-5,1-5
FEBB-6185,2025-05-10 05:13:07.0000000,Sí,Sí,,Sí,Director Ejecutivo/Presidente,Agricultura / Agroprocesamiento,"Tracción/ingresos tempranos del cliente: producto en mercados pequeños, que genera ingresos tempranos y es probable que esté realizando las primeras contrataciones de personal.",Sí,35 mil,Aumentó,5%,Sí,3,2,1,No,Sí,Apoya a los productores primarios con insumos subsidiados y capacitación con el objetivo de que eventualmente compren sus productos o encuentren un mercado para ellos.,,,,"Conozco términos técnicos ambientales como economia circular, huella de carbono, gestión responsable de residuos, financiación verde, etc.","Circularidad (reducir, reutilizar y reciclar),Conservar el agua,Energías renovables o Eficiencia energética",De acuerdo,Neutral,"Nunca acepto sobornos, y esto era algo que hacía incluso antes de CMF Marketplace México - Sinapis.",No,Siempre/Cada vez,El tiempo que toman par orar por mi,"Finanzas (sistemas de organización) y planificación financiera del negocio,Marketing y comunicacion de Valor",,,1-5,1-5,1-5,1-5,