respondentId,answeredAt,Do you give your consent for us to collect your data?,Do you currently have a business operating?,Please provide the name of your business,Did you found or co-found the business?,What is your position in the business?,In which sector does your business operate?,How would you classify the current stage of your business?,Is your company officially registered with the SAT?,"During the past year, how much revenue (sales/turnover) did your company generate PER MONTH? If you have a business but have not generated any revenue yet, please write 0. Use the local currency.",Does the previous number represent an increase or a decrease in your business income compared to the previous year?,"If you answered Increased or Decreased, can you estimate by how much it increased or decreased?",Did you hire new people compared to last year?,"If the answer is yes, how many more people did you hire?","How many full-time paid employees, including yourself, do you currently have? (an estimate is fine). If it's just you, please put 1.",How many PART-TIME paid employees (including casual workers) do you currently have? (an estimate is fine).,"Did you raise external investments for your business in the past through family, friends, financial institutions, or other sources of investment capital? If so, how much? Calculate the exact accumulated investment (in local currency). DO NOT include your own savings (an estimate is fine).",Does your company work directly or indirectly with your community and/or your supply chains?,In which of the following ways does your company work with the community/supply chain?,"If possible, please explain in more detail how your company is related to the community/supply chain.",Calculate how many of these people experience a better quality of life by working directly or indirectly to benefit the stakeholders of the community indicated in the previous answers (be as precise as possible!),"If you answered More than 1000, calculate the exact number.",What is your sustainable business approach regarding environmental care?,What environmental sustainability practices have you incorporated into your business?,"To what extent do you agree with the following statement?

My experience with Aspire - Sinapis (during the program and post-program as an alumni) continues to have a significant impact on the results of my current business.","To what extent do you agree with the statement?

CMF Marketplace Mexico - Sinapis saved my business from failure.",How does it feel to pay or accept a bribe?,"Since completing the CMF Marketplace Mexico - Sinapis program, have you been asked to pay or accept any bribes?",How many times did you refuse to pay or accept a bribe as a direct result of your experience with CMF Marketplace Mexico - Sinapis?,Do you have any comments you would like to share about how your experience with CMF Marketplace Mexico - Sinapis has continued to impact you or your business?,In which areas of your business are you facing the most difficulties? In which areas do you feel you need more training? (You can select more than one option).,Please write your full name.,Please share the best phone number to contact you.,Understood what a Kingdom business is and/or been able to describe it to others,Received information about the Gospel and wanted to know more,Prayer request and/or prayed with you or with a colleague,Become believers in Jesus Christ,Developed a deeper relationship with Jesus and other believers
HDDJ-1466,2025-04-07 20:15:40.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Services and Consulting,"Problem identification: You have identified a problem, but you do not have a solution idea yet.",Yes,0,It decreased,80%,No,,3,Varia,No,No,Another,,1-10,,I am eager to learn more about this.,,Neutral,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,,"Finance (organization systems) and business financial planning, Implementation of Technologies (Digitalization), Marketing and Value communication, Personal/family financial planning, Sales",,,0,0,0,,0
BDFJ-2945,2025-04-07 20:35:07.0000000,Yes,Yes,,Yes,Another,Product Marketing,"Customer traction/early revenue: product in small markets, generating early revenue and likely making initial hires.",No,0.00,,,No,,1,0,"10,000",No,Another,"They are beauty, cleaning, and personal hygiene products",1-10,,I understand and apply environmental principles.,Another,Agreed,Agreed,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,"No, I have no comments",Implementation of Technologies (Digitization),,,More than 5,More than 5,1-5,0,More than 5
GEBB-2131,2025-04-07 20:36:26.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Product Marketing,"Rapid growth: observing a strong and steady customer demand, generating significant revenues and positive cash flow.",No,"$250,000 pesos per month",Increased,"Yes, around 25%.",Yes,2,10 empleados,1 empleado,No,Yes,"Buy directly from a cooperative owned by producers or a community group that are the main suppliers of inputs for your business (for example, farmers or artisan cooperatives).",We provide quality tortillas and food to our community,101-1000,,I understand and apply environmental principles.,"Preserve water, Renewable energies or Energy efficiency",Agreed,Disagree,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,"It helped me to have peace and love for my work, allowing me to understand that this business is also a means to share faith with our clients and employees...","Balance between work and personal life as an entrepreneur, Finance (organization systems) and business financial planning, Implementation of Technologies (Digitalization), Taxes, Marketing and Value communication, Recruitment and selection of personnel",,,More than 5,More than 5,More than 5,More than 5,More than 5
IBIA-3684,2025-04-08 01:59:57.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Services and Consulting,"Customer traction/early revenue: product in small markets, generating early revenue and likely making initial hires.",No,"8,000",,,Yes,2,1,4,No,No,Another,,1-10,,I am eager to learn more about this.,Another,Agreed,Neutral,I never accept bribes and this was something I learned during CMF Marketplace Mexico - Sinapis.,No,Never,I like that they follow up with former students.,Marketing and Value Communication,,,,,,,
IGDE-7247,2025-04-08 06:06:26.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Product Marketing,"Rapid growth: observing a strong and steady customer demand, generating significant revenues and positive cash flow.",No,"$250,000 per month",Increased,25%,Yes,2,10,1,No,Yes,"Buy directly from a cooperative owned by producers or a community group that are the main suppliers of inputs for your business (for example, farmers or artisan cooperatives).",In the sale of tortillas and quality food.,1-10,,I am eager to learn more about this.,"Preserve water, Renewable energies or Energy efficiency",I totally agree,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,"They are always willing to advise me on required topics, offer me further training, pray for me and the business.","Implementation of Technologies (Digitization), Taxes, Recruitment and Selection of Personnel",,,More than 5,More than 5,More than 5,More than 5,More than 5
EJHD-4569,2025-04-09 03:33:27.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,"Doctor: Healthcare, Equipment, Pharmacy.","Solidifying operations: acquiring more clients, making key high-level hires, and moving towards a positive cash flow.",Yes,"$40,000.00",,,No,,1,0,,Yes,"Buy directly from a cooperative owned by producers or a community group that are the main suppliers of inputs for your business (for example, farmers or artisan cooperatives).",,1-10,,"I am familiar with environmental technical terms such as circular economy, carbon footprint, responsible waste management, green financing, etc.",Another,Agreed,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Never,All good,Recruitment and personnel selection,,,0,,,,
BCAG-9319,2025-04-15 01:40:42.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Fashion and Clothing,"Solidifying operations: acquiring more clients, making key high-level hires, and moving towards a positive cash flow.",Yes,I'm just checking this out from the year and what it generates,,,Yes,2 people,2 personas,,No,No,Another,,,,,Another,Agreed,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Never,I am paying attention to what comes in and out economically! And seeking better quality in my services,"Implementation of Technologies (Digitization), Sales",,,,,,,
CCCF-5848,2025-04-16 19:15:57.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Information and Communication Technologies,"Starting to see strong revenue traction: the product or service is selling consistently, generating revenue, and securing key hires.",Yes,"1,512,871.46",Increased,12%,Yes,1,5,0,0,No,Another,,,,I am eager to learn more about this.,,Agreed,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",Yes,Always/Every time,The community has been a very good tool for connecting and developing.,"Finance (organization systems) and financial business planning, Taxes, Marketing and Value communication",,,1-5,1-5,1-5,0,0
JICJ-9426,2025-04-17 00:55:34.0000000,Yes,Yes,,No,Employee,Product Marketing,"Problem identification: You have identified a problem, but you do not have a solution idea yet.",Yes,"$60,000.00",Increased,$10000.00,No,,1,0,No,No,,,,,I understand and apply environmental principles.,Obtain sustainable materials or packaging,Agreed,Agreed,I never accept bribes and this was something I learned during CMF Marketplace Mexico - Sinapis.,No,Always/Every time,No,"Marketing and Value Communication, Sales",,,1-5,,,,
EFBB-3055,2025-04-17 16:41:29.0000000,Yes,No,,Yes,Chief Executive Officer/President,"Manufacturing: Automotive, Wood, Textile.","Idea/Concept: He formed an idea, but has not yet built a prototype or taken his product/service to the market.",No,N/A,,,Yes,1 designer,,1,if I still don't have it complete,Yes,Another,,1-10,,"I am familiar with environmental technical terms such as circular economy, carbon footprint, responsible waste management, green financing, etc.",,Agreed,Completely disagree,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,,Marketing and Value Communication,,,1-5,,1-5,,
CEJJ-5341,2025-04-17 22:52:16.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Financial,,Yes,,,,No,I only have one person,2,0,,No,Another,The previous question does not apply to me.,,,,,Neutral,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,,"Balance between work and personal life as an entrepreneur, Finance (organization systems) and business financial planning, Implementation of Technologies (Digitalization), Personal/family financial planning, Sales",,,More than 5,0,0,0,0
JFEH-9817,2025-04-22 01:54:04.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,"Manufacturing: Automotive, Wood, Textile.","Starting to see strong revenue traction: the product or service is selling consistently, generating revenue, and securing key hires.",Yes,"20,000",,,No,,0,4,No,No,,,,,I am eager to learn more about this.,Renewable energies or Energy efficiency,I totally agree,Neutral,It depends on the situation.,No,Never,,Finance (organization systems) and financial planning for the business,,,0,0,0,,
BAGE-6922,2025-04-22 03:56:48.0000000,Yes,No,,Yes,Chief Executive Officer/President,Product Marketing,Failed,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCDE-9380,2025-04-23 02:48:17.0000000,Yes,Yes,,Yes,Another Executive Position,Product Marketing,"Customer traction/early revenue: product in small markets, generating early revenue and likely making initial hires.",No,30k,Increased,6%,No,,1,,No,Yes,Support primary producers with subsidized inputs and training with the aim of eventually buying their products or finding a market for them.,All the raw material comes from local businesses,1-10,,I am eager to learn more about this.,,I totally agree,I totally agree,I never accept bribes and this was something I learned during CMF Marketplace Mexico - Sinapis.,No,Never,The teachings of the course have guided me to make better decisions.,"Personal/family financial planning, Using my business as a space to share my faith and/or values",,,1-5,1-5,1-5,1-5,1-5
FDJH-3693,2025-04-23 04:40:13.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,"Energy: Oil, Solar, Electricity.","Solidifying operations: acquiring more clients, making key high-level hires, and moving towards a positive cash flow.",Yes,$250 million pesos,It decreased,revenue decreased But it is more profitable,No,,1,8,no,Yes,"Regularly purchase from informal individuals who provide services/products for your business (e.g. artisans, delivery persons, etc.).",We are a key part in the construction of a property.,1-10,,,Responsible waste management,I totally agree,Disagree,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",Yes,Never,Yes! I structure myself.,Integrate my faith and/or values into the operations of my business,,,,,1-5,,
FBIC-5905,2025-04-23 14:43:05.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Fashion and Clothing,"Customer traction/early revenue: product in small markets, generating early revenue and likely making initial hires.",No,4000,Increased,2000,No,,1,1,1000,Yes,Another,I will only sell my products and later I will give classes to make my items since there is interest from people.,1-10,,I am eager to learn more about this.,"Circularity (reduce, reuse, and recycle)",I totally agree,I totally agree,I never accept bribes and this was something I learned during CMF Marketplace Mexico - Sinapis.,No,Never,,Sales,,,1-5,,,,
CIAG-9500,2025-04-24 03:25:19.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Informal Sector,"Idea/Concept: He formed an idea, but has not yet built a prototype or taken his product/service to the market.",No,"$4950 over four months, as the amount fluctuates.",Increased,In 2023 I received $2925 for 5 months and the amount was also variable.,No,,1,,No. I invested everything with the money from my business and my other job.,Yes,Another,"The language creates the need to communicate with the missionaries of the Church. The students who are already there put it into practice, and in this way, the possibility of traveling abroad in the future is being mentioned.",1-10,,I am eager to learn more about this.,"Circularity (reduce, reuse, and recycle), Conserve water",I totally agree,I totally agree,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,"Just at the end of 2024, I experienced problems receiving my salary at my other job because they were delayed by 4 months, and when I looked at the numbers of this business, I hadn't realized how supported I have been by the hand of the Lord.","Balance between work and personal life as an entrepreneur, Finance (organization systems) and business financial planning, Taxes, Legal, Marketing and Value communication, Personal/family financial planning, Sales",,,More than 5,1-5,1-5,1-5,1-5
FEBB-6185,2025-05-10 05:13:07.0000000,Yes,Yes,,Yes,Chief Executive Officer/President,Agriculture / Agroprocessing,"Customer traction/early revenue: product in small markets, generating early revenue and likely making initial hires.",Yes,35 thousand,Increased,5%,Yes,3,2,1,No,Yes,Support primary producers with subsidized inputs and training with the aim of eventually buying their products or finding a market for them.,,,,"I am familiar with environmental technical terms such as circular economy, carbon footprint, responsible waste management, green financing, etc.","Circularity (reduce, reuse, recycle), Conserve water, Renewable energies or Energy efficiency",Agreed,Neutral,"I never accept bribes, and this was something I did even before CMF Marketplace Mexico - Sinapis.",No,Always/Every time,The time they take to pray for me,"Finance (organization systems) and financial business planning, Marketing and Value communication",,,1-5,1-5,1-5,1-5,
